forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00-04,quantile,0.025,185,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00-04,quantile,0.1,185,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00-04,quantile,0.25,185,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00-04,quantile,0.5,187,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00-04,quantile,0.75,190,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00-04,quantile,0.9,193,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00-04,quantile,0.975,196,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00+,quantile,0.025,9107,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00+,quantile,0.1,9131,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00+,quantile,0.25,9158,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00+,quantile,0.5,9197,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00+,quantile,0.75,9249,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00+,quantile,0.9,9309,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,00+,quantile,0.975,9396,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,05-14,quantile,0.025,50,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,05-14,quantile,0.1,50,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,05-14,quantile,0.25,50,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,05-14,quantile,0.5,51,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,05-14,quantile,0.75,52,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,05-14,quantile,0.9,52,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,05-14,quantile,0.975,53,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,15-34,quantile,0.025,551,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,15-34,quantile,0.1,553,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,15-34,quantile,0.25,555,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,15-34,quantile,0.5,559,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,15-34,quantile,0.75,565,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,15-34,quantile,0.9,573,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,15-34,quantile,0.975,587,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,35-59,quantile,0.025,1311,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,35-59,quantile,0.1,1316,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,35-59,quantile,0.25,1321,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,35-59,quantile,0.5,1328,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,35-59,quantile,0.75,1338,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,35-59,quantile,0.9,1349,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,35-59,quantile,0.975,1366,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,60-79,quantile,0.025,3227,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,60-79,quantile,0.1,3236,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,60-79,quantile,0.25,3245,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,60-79,quantile,0.5,3260,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,60-79,quantile,0.75,3280,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,60-79,quantile,0.9,3304,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,60-79,quantile,0.975,3340,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,80+,quantile,0.025,3778,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,80+,quantile,0.1,3787,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,80+,quantile,0.25,3798,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,80+,quantile,0.5,3812,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,80+,quantile,0.75,3831,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,80+,quantile,0.9,3853,COVID-19
2023-03-21,-28 day ahead inc hosp,2023-02-21,DE,80+,quantile,0.975,3883,COVID-19
